,mission,datetime,viewing_zenith_angle,viewing_azimuth_angle,solar_zenith_angle,solar_azimuth_angle
0,TRUTHS,2020-01-13 20:29,2.011562394536924,164.26079722453494,63.31531878675959,250.90732243692625
1,TRUTHS,2020-02-13 18:27,1.0300197036561656,172.91877810896517,32.80720651752376,260.8411957803568
2,TRUTHS,2020-03-15 16:26,0.1963129106579231,110.71297770969784,9.2846739226772,332.1949426983184
3,TRUTHS,2020-04-15 14:24,0.7550301547416893,143.9471694306379,31.08589384263221,50.47851099723428
4,TRUTHS,2020-05-16 12:22,1.7952674557587898,153.5918418330607,60.1678053415241,60.8216200169266
5,TRUTHS,2020-07-25 19:44,3.1526181967455784,154.68579325507935,61.08857693800871,298.8787575605454
6,TRUTHS,2020-08-25 17:42,2.248444754844442,144.51400125548193,32.27422939434852,308.52588301868747
7,TRUTHS,2020-09-25 15:40,1.1997010050459522,76.40052896963694,9.175236832432603,16.726866231420843
8,TRUTHS,2020-10-26 13:39,0.2795041151826041,0.23747604857668136,30.626498950840343,98.10229594747908
9,TRUTHS,2020-11-26 11:37,0.5653196191042866,164.91069810278978,60.787633468875796,108.6437458271138
10,Sentinel2,2020-01-07 14:21,2.8792983709698063,102.62064153643362,27.9029487189,119.56686190365706
11,Sentinel2,2020-01-17 14:20,4.537516370816306,102.65570294179281,28.353549262197927,115.55835155157651
12,Sentinel2,2020-01-27 14:20,6.2111241423918955,102.69012043396005,28.52172446548832,110.49245388037698
13,Sentinel2,2020-02-06 14:19,7.89604924473862,102.72656509103818,28.502584967908547,104.4594264988728
14,Sentinel2,2020-02-16 14:18,9.674957266721293,110.53717380722959,28.415191756691346,97.56663686453659
15,Sentinel2,2020-02-29 14:27,9.870452887568192,282.3510434250214,26.040268866458824,86.94109042292942
16,Sentinel2,2020-03-10 14:26,8.135067169447595,282.3875660075351,26.423302743057736,78.1801821580986
17,Sentinel2,2020-03-20 14:25,6.371304776555064,282.42495647808494,27.22673457374721,69.5378868073128
18,Sentinel2,2020-03-30 14:24,4.5823561674198885,282.463122565681,28.474988995752323,61.49001400646807
19,Sentinel2,2020-04-09 14:24,2.770308623483942,282.502356265715,30.11730559456751,54.41539398142287
20,Sentinel2,2020-04-19 14:23,0.9363413618837768,282.5415794647114,32.04545951812478,48.53251960891347
21,Sentinel2,2020-04-29 14:22,2.2656656993848543,36.493739663049276,34.13053936284507,43.92540924340613
22,Sentinel2,2020-05-09 14:21,3.6932917550865767,143.50479827607072,36.17989367998357,40.47116793334601
23,Sentinel2,2020-05-19 14:20,4.685430431761745,102.65891286383861,38.1197309908914,38.1942790108828
24,Sentinel2,2020-05-29 14:19,6.590668487469543,102.69878197112715,39.77766654640964,36.886954653664304
25,Sentinel2,2020-06-08 14:18,8.503765212116178,102.74042437858475,41.05999090219625,36.4481876833427
26,Sentinel2,2020-07-01 14:26,8.736981192424452,282.37475829123105,40.72043511101262,35.499045094826094
27,Sentinel2,2020-07-11 14:25,6.761696348530748,282.41646858114433,40.26811688463086,37.22726872462473
28,Sentinel2,2020-07-21 14:24,4.757435757450551,282.4589099831696,39.26524985031443,39.44369960758881
29,Sentinel2,2020-07-31 14:24,2.7284952088848797,282.50298251245977,37.752045561918244,42.14008477959959
30,Sentinel2,2020-08-10 14:23,0.6780520702421455,282.55030492857935,35.797266024238134,45.35164055015997
31,Sentinel2,2020-08-20 14:22,1.3915445044924155,102.58891022759578,33.498779842470796,49.165869163756696
32,Sentinel2,2020-08-30 14:21,3.4780849037309878,102.63299391915238,30.9851531014609,53.72891515674265
33,Sentinel2,2020-09-09 14:20,5.578667976965917,102.6769853921836,28.418309407654164,59.240696358863964
34,Sentinel2,2020-09-19 14:19,7.689037891568518,102.72220345623876,25.995329494739813,65.91831296271644
35,Sentinel2,2020-09-29 14:18,9.80334993013956,102.76814874819193,23.942782737978078,73.89321483336532
36,Sentinel2,2020-10-12 14:26,9.106606182744386,282.3675291078836,19.765057871611642,84.98063175851335
37,Sentinel2,2020-10-22 14:25,6.939493046273327,282.4126005414016,19.340392212764105,95.7983749474339
38,Sentinel2,2020-11-01 14:24,4.736889303643551,282.45828885658756,19.786375774017717,105.72036788385554
39,Sentinel2,2020-11-11 14:23,2.506142649143328,282.50554360808553,20.916109013914895,113.64230161473886
40,Sentinel2,2020-11-21 14:22,0.25409463597516435,282.54883923802447,22.45292606619163,119.12789114689562
41,Sentinel2,2020-12-01 14:21,2.013531927789799,102.60384747187715,24.128371916206593,122.27236680518305
42,Sentinel2,2020-12-11 14:20,4.292204936598409,102.65131959336468,25.730680926427265,123.38814772357854
43,Sentinel2,2020-12-21 14:19,6.578116303559767,102.70028943948839,27.11431059056824,122.80382404469957
