datetime,distance_km,satellite_latitude_deg,satellite_longitude_deg,site_latitude_deg,site_longitude_deg,view_zenith_angle_deg,satellite_azimuth_deg,satellite_elevation_deg,solar_azimuth_deg,solar_elevation_deg
2020-02-01 23:16:05.799999+00:00,0.02211633042463732,59.99490349076554,-120.39750836199487,59.99999999999999,-119.99999999999999,2.2247317063077077,268.70561786054503,87.77526829369229,223.28731169703735,4.622623191962553
2020-02-23 21:46:40.699999+00:00,0.01861374536095156,60.00540420506039,-119.66545708215779,59.99999999999999,-119.99999999999999,1.8733572141499337,88.00735326063025,88.12664278585007,204.19115769670842,17.78724674934352
2020-03-03 21:14:30.999999+00:00,0.02634697696358484,59.993659027078465,-120.47352524720532,59.99999999999999,-119.99999999999999,2.641441097999376,268.67341221948334,87.35855890200062,196.90294450988503,22.461360043980577
2020-03-25 19:45:08.399999+00:00,0.013819708705146042,60.006020011597315,-119.75177987899923,59.99999999999999,-119.99999999999999,1.3730027263656268,87.11952781359075,88.62699727363437,173.91335600107115,32.095477053176516
2020-04-03 19:12:59.899999+00:00,0.03143557316932534,59.990095799903465,-120.56480634038118,59.99999999999999,-119.99999999999999,3.1174116242397787,268.2393388726904,86.88258837576022,164.74972814253937,34.880683460801045
2020-04-25 17:43:38.099999+00:00,0.008560820605846972,60.002084703357205,-119.84612129723958,59.99999999999999,-119.99999999999999,0.8551662505078212,88.38362142490612,89.14483374949218,137.4115251756581,37.40377280559387
2020-05-04 17:11:28.799999+00:00,0.036496634034593266,59.9905935781551,-120.65587795082395,59.99999999999999,-119.99999999999999,3.657720443498974,268.64376684178876,86.34227955650103,127.39358895606256,37.0676103036655
2020-05-19 04:08:53.799999+00:00,0.04120641642292255,59.98857917566215,-119.25955229227486,59.99999999999999,-119.99999999999999,4.139728576111921,91.44328396988213,85.86027142388808,307.95323728859006,2.1410408140129684
2020-05-26 15:42:03.899999+00:00,0.004217821341239958,59.999825936624426,-119.92416124494211,59.99999999999999,-119.99999999999999,0.42525425280094,90.22976329515011,89.57474574719906,101.83496043902669,31.343133264912662
2020-05-28 03:36:44.199999+00:00,0.003790944325181079,59.99896264616842,-120.06813151807677,59.99999999999999,-119.99999999999999,0.3799565270522862,268.2879941975386,89.62004347294771,301.73140168075236,7.021124340766749
2020-06-04 15:09:53.999999+00:00,0.04069617853295181,59.99057985783097,-120.73140635426576,59.99999999999999,-119.99999999999999,4.088827945957377,268.84362903107154,85.91117205404262,93.49405289252527,28.256712569654372
2020-06-17 14:12:39.599999+00:00,0.0447883875551289,60.01791479368005,-119.19524403555785,59.99999999999999,-119.99999999999999,4.472691987148451,87.10548980189407,85.52730801285155,80.19394075241156,21.53438416712013
2020-06-19 02:07:21.699999+00:00,0.036347004799580765,59.99273341060631,-119.34668293502548,59.99999999999999,-119.99999999999999,3.606111470259961,90.98935901994291,86.39388852974004,283.45265067060035,19.41067442913489
2020-06-26 13:40:30.499999+00:00,0.00033392971206408766,59.99950539697489,-120.00592222898571,59.99999999999999,-119.99999999999999,0.033264122408724006,260.5341542253537,89.96673587759128,73.19520031461502,17.327799511097126
2020-06-28 01:35:13.299999+00:00,0.008913072183198782,60.00363926377584,-120.16010753827518,59.99999999999999,-119.99999999999999,0.8846830423843386,272.668383190987,89.11531695761566,276.26502700827143,23.46393782912118
2020-07-05 13:08:21.899999+00:00,0.04555300152996491,59.988296187963684,-120.81860472989146,59.99999999999999,-119.99999999999999,4.516594203889866,268.71936891770656,85.48340579611013,66.58355297585953,12.821581124485032
2020-07-18 12:11:09.099999+00:00,0.039552664943260325,60.01462278485114,-119.28925297499822,59.99999999999999,-119.99999999999999,3.9224699917693613,87.33906590335275,86.07753000823064,55.25490720432584,4.800639576423839
2020-07-20 00:05:51.299999+00:00,0.031112331252614003,59.994448523881616,-119.44073123374682,59.99999999999999,-119.99999999999999,3.1085485093235405,90.89331280572962,86.89145149067646,254.07148831108938,32.667938287528315
2020-07-28 23:33:41.899999+00:00,0.013917179698655557,60.00632876567548,-120.24994558975973,59.99999999999999,-119.99999999999999,1.3974602437049555,273.0031210437271,88.60253975629504,244.99429687051392,34.778156807346015
2020-08-19 22:04:16.999999+00:00,0.02681434993588772,59.99143585157728,-119.51822250525036,59.99999999999999,-119.99999999999999,2.7012555062349435,91.8241394476371,87.29874449376506,218.23610625639282,37.42660817069043
2020-08-28 21:32:07.099999+00:00,0.018103961876723813,60.003720308716964,-120.32545707472113,59.99999999999999,-119.99999999999999,1.8198773458876474,271.44866583951176,88.18012265411235,208.38340772130852,36.502671482892424
2020-09-19 20:02:43.799999+00:00,0.02222498848774166,59.99617638722895,-119.60047286175076,59.99999999999999,-119.99999999999999,2.211423431933113,90.92180441221372,87.78857656806689,182.68941815928662,31.029360431736837
2020-09-28 19:30:35.299999+00:00,0.023005349086352052,60.004906432150264,-120.41356923127226,59.99999999999999,-119.99999999999999,2.2833083092683495,271.53631867022153,87.71669169073165,174.42161844803474,27.442269936097716
2020-10-20 18:01:13.799999+00:00,0.01689788461901945,59.99426887247013,-119.69640504153216,59.99999999999999,-119.99999999999999,1.6835331858925997,92.02722552276492,88.3164668141074,153.46596043872057,16.341306010211603
2020-10-29 17:29:04.699999+00:00,0.028213109014103684,60.01043348764696,-120.50694576314004,59.99999999999999,-119.99999999999999,2.8216397934129844,272.57336452010077,87.17836020658702,146.69278984317813,11.423703954175062
