,mission,datetime,viewing_zenith_angle,viewing_azimuth_angle,solar_zenith_angle,solar_azimuth_angle
0,TRUTHS,2020-02-10 22:38,1.2453523846962469,87.38653185278048,63.81038731108628,219.4941166608678
1,TRUTHS,2020-03-12 20:36,0.5818527179165329,84.67672573921756,43.3425530015515,190.00459940695276
2,TRUTHS,2020-04-12 18:35,0.2156506889939748,275.5433472312922,36.2911052156519,142.70880715415117
3,TRUTHS,2020-05-13 16:33,0.982168928588976,266.12970241556206,48.25364493162023,100.97657257084532
4,TRUTHS,2020-06-13 14:32,1.6311141755513034,266.5794059097478,69.38598009188469,76.41071181927212
5,TRUTHS,2020-07-11 00:43,0.1561907634382748,99.82982785054683,60.62756230073005,275.18455361910605
6,TRUTHS,2020-08-10 22:41,0.5263274393569901,275.6272173392134,42.11026823285049,245.30624143236477
7,TRUTHS,2020-09-10 20:40,1.2080557486394383,272.3257366660494,36.82473447292127,198.32148116391477
8,TRUTHS,2020-10-11 18:38,2.0193908802261973,272.5085281157147,49.92361841484776,157.80586752792155
9,TRUTHS,2020-11-02 17:09,4.187151014961273,92.73709787906782,65.68908484261414,138.67364648222443
10,Sentinel2,2020-01-04 18:59,3.126481628065818,284.46992145883746,64.52540786071263,163.35368966346948
11,Sentinel2,2020-01-14 18:58,1.8527446701574917,284.3475221156869,63.43012872056163,161.74231372357906
12,Sentinel2,2020-01-24 18:58,0.5606029948363727,284.2311194668033,61.64479883258563,160.13811735628883
13,Sentinel2,2020-02-03 18:57,2.1681449040438565,34.319561428404455,59.243285522464646,158.58143172895177
14,Sentinel2,2020-02-13 18:56,2.077839199939163,103.97630459286209,56.30473064729174,157.15423440268492
15,Sentinel2,2020-02-23 18:55,3.421072284588476,103.84834501381667,52.95075649713917,155.81099296348572
16,Sentinel2,2020-03-04 18:55,4.776801664869154,103.71946504210942,49.2957954671216,154.54386093943452
17,Sentinel2,2020-03-14 18:54,6.141970071286224,103.59002587000872,45.464175148295475,153.29989305276447
18,Sentinel2,2020-03-17 19:03,10.228631860560455,285.1523702124421,43.48033477405605,156.30372517194513
19,Sentinel2,2020-03-24 18:53,7.513901406854075,103.45975814683867,41.582524015539676,151.99901037517984
20,Sentinel2,2020-03-27 19:03,8.87205027061799,285.0206775383014,39.572036689593205,155.2074828314471
21,Sentinel2,2020-04-03 18:52,8.890783896884514,103.32839806346044,37.77790541958612,150.53739377131438
22,Sentinel2,2020-04-06 19:02,7.493807441094248,284.887890783564,35.773892382639715,153.9411667948393
23,Sentinel2,2020-04-13 18:51,10.27185620576644,103.195189325343,34.176732043264565,148.7959349437136
24,Sentinel2,2020-04-16 19:01,6.095841328751305,284.75404179588804,32.208512307768416,152.37526384986162
25,Sentinel2,2020-04-26 19:00,5.12155039731978,260.5899835830209,28.990229401148305,150.41332646300197
26,Sentinel2,2020-05-06 18:59,3.2437489426546335,284.4811187960448,26.25225473822368,147.8848150460583
27,Sentinel2,2020-05-16 18:58,1.789359777977026,284.34093286159714,24.078197741056133,144.90390886479102
28,Sentinel2,2020-05-26 18:57,0.31575167941731763,284.19764892035795,22.54925073857324,141.64052638093264
29,Sentinel2,2020-06-05 18:57,1.17653396155238,104.06003851489702,21.697984152364057,138.48285865675476
30,Sentinel2,2020-06-15 18:56,2.6858369061657896,103.91712043435692,21.506307457941,135.91863859457297
31,Sentinel2,2020-06-25 18:55,4.209356521409049,103.77322934958748,21.914541409182476,134.36873157880606
32,Sentinel2,2020-07-05 18:54,5.743501740257258,103.627549734071,22.844896885513304,134.05212282644158
33,Sentinel2,2020-07-15 18:53,7.5101327458473435,89.32638359814223,24.2328653011063,134.9324840115989
34,Sentinel2,2020-07-18 19:03,9.055408050816595,285.03807060612553,23.441153527163006,140.2001710914288
35,Sentinel2,2020-07-25 18:52,8.836570154947154,105.7086502614327,25.99987921024735,136.91204484131435
36,Sentinel2,2020-07-28 19:02,7.5130911620491645,284.88906581896185,25.381675941867616,142.243749962303
37,Sentinel2,2020-08-07 19:01,5.948318530373086,284.7392824909334,27.692632785452183,144.9704184255635
38,Sentinel2,2020-08-17 19:00,4.363437156227235,284.58782495727115,30.3423219862957,148.08423552090088
39,Sentinel2,2020-08-27 18:59,2.7597996401557197,284.43564417144574,33.29642333361726,151.32344502317196
40,Sentinel2,2020-09-06 18:58,1.246389474076807,308.3590580810991,36.51282969532,154.46996670114336
41,Sentinel2,2020-09-16 18:57,0.5391936416047542,82.68451892758436,39.932151387838516,157.3792699437957
42,Sentinel2,2020-09-26 18:56,2.1639868631839505,100.10743579407058,43.487507971816484,159.92272522239094
43,Sentinel2,2020-10-06 18:55,3.832085793095416,103.8089548667832,47.09520701087905,162.02616119675557
44,Sentinel2,2020-10-16 18:54,5.518074807527768,103.64849509488825,50.661239795897686,163.6382415234625
45,Sentinel2,2020-10-26 18:53,7.213078691614001,103.487568477765,54.08168824040432,164.735288334223
46,Sentinel2,2020-10-29 19:03,9.085433826760635,285.04142169877457,54.61818756449848,167.86365105166817
47,Sentinel2,2020-11-05 18:52,8.912471921013022,103.3254961568651,57.24697761452696,165.31233128230494
48,Sentinel2,2020-11-08 19:02,7.394460060304908,284.8770919597486,57.69625921674909,168.14514155360152
49,Sentinel2,2020-11-18 19:00,5.67617316060975,284.71128781704243,60.359195782682434,167.95253095273074
50,Sentinel2,2020-11-28 18:59,3.9347711606584284,284.5450572417452,62.503154632327245,167.3250761709594
51,Sentinel2,2020-12-08 18:58,2.1740158834384147,284.37777325381563,64.03744971611712,166.32014691991074
52,Sentinel2,2020-12-18 18:57,0.3967484763490461,284.2085280253524,64.89172054887251,165.0109252490281
53,Sentinel2,2020-12-28 18:56,1.3951922667809242,104.04136498510019,65.02237242974563,163.48148951009117
