,mission,datetime,viewing_zenith_angle,viewing_azimuth_angle,solar_zenith_angle,solar_azimuth_angle
0,TRUTHS,2020-01-22 19:54,0.4661073105942677,84.61060116257052,52.13172516574384,260.189150499358
1,TRUTHS,2020-02-22 17:52,0.448417013378986,270.252013053988,25.836698289292613,288.63071834202896
2,TRUTHS,2020-03-24 15:51,1.2382055511180994,267.18714248257623,22.084431073389553,9.969245864119207
3,TRUTHS,2020-04-24 13:49,2.162721844176815,266.9266798341524,45.78003292271218,46.23768592852495
4,TRUTHS,2020-07-25 19:46,4.0728622518871305,273.6660957214558,66.7795725304147,302.75537247015427
5,TRUTHS,2020-08-16 18:17,3.5784466929730314,93.35846944233028,46.78227506399181,312.8984362636767
6,TRUTHS,2020-09-16 16:15,2.5813076491712934,93.8027915986957,22.87898234033078,346.3005606521848
7,TRUTHS,2020-10-17 14:14,1.6855768679760104,94.35638820411826,24.310365818622728,67.8784035396719
8,TRUTHS,2020-11-17 12:12,0.8927519709387184,95.38140368212868,49.82104046429396,98.61617383360937
9,Sentinel2,2020-01-04 14:14,3.9181895237521474,102.96621710299276,25.753089120871508,101.07054747718615
10,Sentinel2,2020-01-14 14:13,5.485414303989657,103.03321290096696,26.907768026065334,97.9361089306815
11,Sentinel2,2020-01-24 14:13,7.066061092570067,103.10051222607467,27.971265311374893,93.5731767382342
12,Sentinel2,2020-02-03 14:12,8.656354812295461,103.16972519306167,28.994710166434725,88.23080384023777
13,Sentinel2,2020-02-16 14:21,9.884271571229107,282.37711194770026,28.103696970816557,78.62976175834407
14,Sentinel2,2020-02-26 14:20,8.256391237872208,282.44692559586576,29.409707713161314,71.62829394581644
15,Sentinel2,2020-03-07 14:19,6.600903256618494,282.5174009186804,30.96581320867831,64.64215582647192
16,Sentinel2,2020-03-17 14:18,4.921425375907077,282.5889392979489,32.80195654719717,57.98802793941288
17,Sentinel2,2020-03-27 14:17,3.22070007335725,282.6617635545511,34.904285810061175,51.92520825778973
18,Sentinel2,2020-04-06 14:17,1.5003937031448658,282.7363403021212,37.21844645230327,46.63287543946466
19,Sentinel2,2020-04-16 14:16,0.24905705926292399,119.42225234390229,39.65875560310514,42.20772074788249
20,Sentinel2,2020-04-26 14:15,2.5663173083985242,63.924798799226366,42.12874408490412,38.695292282616684
21,Sentinel2,2020-05-06 14:14,3.770143232262697,102.95983729495869,44.491964933687946,36.031379941554995
22,Sentinel2,2020-05-16 14:13,5.559248698617438,103.03642748879119,46.656797708420264,34.2091105969617
23,Sentinel2,2020-05-26 14:12,7.359544577115045,103.11352465689522,48.50876076831953,33.14556185636512
24,Sentinel2,2020-06-05 14:11,9.166141207077033,103.19239964169829,49.95270064294271,32.76245362267272
25,Sentinel2,2020-06-18 14:20,9.090803876229913,282.41100099639084,49.86115931927507,30.665145406348724
26,Sentinel2,2020-06-28 14:19,7.23713661244247,282.49017064967194,50.072416544891,31.566412217309956
27,Sentinel2,2020-07-08 14:18,5.354819021975317,282.57049267812505,49.6864527349019,32.861852334849466
28,Sentinel2,2020-07-18 14:17,3.4484772341377976,282.6520305345573,48.705435518812074,34.49130093958921
29,Sentinel2,2020-07-28 14:17,1.5217830299220907,282.7369597266777,47.15748697545937,36.41465454453393
30,Sentinel2,2020-08-07 14:16,0.4226924483922545,102.81567920175954,45.095892622079845,38.6185781509294
31,Sentinel2,2020-08-17 14:15,2.3831449367175566,102.90036135716656,42.597797878841526,41.123418532486916
32,Sentinel2,2020-08-27 14:14,4.357851756598393,102.98513072161849,39.76302661955702,43.98989587302971
33,Sentinel2,2020-09-06 14:13,6.344384842794554,103.06981225542138,36.71365021840065,47.32439931986008
34,Sentinel2,2020-09-16 14:12,8.339011071904878,103.15598952124434,33.594564871089176,51.27918208163078
35,Sentinel2,2020-09-29 14:20,9.676669762016786,282.38647024882374,27.77932295805521,54.42998971438646
36,Sentinel2,2020-10-09 14:19,7.646014288336858,282.4732494681764,25.047489202293843,60.62261775915834
37,Sentinel2,2020-10-19 14:18,5.579615012799408,282.5608767681557,22.872341394570093,68.03469846369468
38,Sentinel2,2020-10-29 14:17,3.483832229303232,282.65013410100295,21.440322993840326,76.35423038328223
39,Sentinel2,2020-11-08 14:16,1.3652450188328658,282.740147124262,20.846711543348686,84.78161103234248
40,Sentinel2,2020-11-18 14:15,0.770215275319373,102.83494181516936,21.043146362650806,92.25397070779965
41,Sentinel2,2020-11-28 14:14,2.9177770400093834,102.92455728049002,21.85174097214889,97.91834848058187
42,Sentinel2,2020-12-08 14:13,5.073821125014419,103.01741033458843,23.040114153992985,101.4083899621634
43,Sentinel2,2020-12-18 14:12,7.235378879675395,103.11010676324446,24.39627101090606,102.76418464979255
44,Sentinel2,2020-12-28 14:11,9.399335915344139,103.2038081595511,25.76678803954254,102.22233328521372
